CRN,Subj,Course,Sec,Title,Creds Days,Time,Instructor,Notes
34664,CR,0320,01,Computer Networks,3 W,1100-0130pm,Lyon D,
35854,CR,0332,01,Biomedical Imaging,3 TF,0930-1045am,Freudzon S,
CRN,Subj,Course,Sec,Title,Creds Days,Time,Instructor,Notes
35855,CS,0101,01,Introduction to Computing,3 TF,1100-1215pm,STAFF,
34850,CS,0131,01,Fundamentals of Programming,3 MR,1100-1215pm,Macbeth J,
34864,CS,0131,02,Fundamentals of Programming,3 MR,1230-0145pm,Macbeth J,
35460,CS,0131,03,Fundamentals of Programming,3 MR,0330-0445pm,Macbeth J,
34996,CS,0331,01,Operating Systems,3 W,0630-0900pm,Corcoran J,
34997,CS,0343,01,Analysis of Algorithms,3 MW,0500-0615pm,Corcoran J,
CRN,Subj,Course,Sec,Title,Creds Days,Time,Instructor,Notes
34220,EE,0221,01,Frequency Domain Circuit Analy,3 MR,0930-1045am,Balaji U,
35860,EE,0331,01,Analog Electronics Design,3 MR,0200-0315pm,Balaji U,
35861,EE,0331L,01,Analog Electronics Lab,1 R,0630-0830pm,Denenberg J,
34999,EE,0379,01,Communication Systems,3 TF,1230-0145pm,Balaji U,
35862,EE,0385,01,Powr Generation & Distribution,3 W,0630-0900pm,Denenberg J,
CRN,Subj,Course,Sec,Title,Creds Days,Time,Instructor,Notes
35240,EG,0060,01,STEM of Guitar,3 TF,1230-0230pm,Munden R,
35241,EG,0130,01,Engineering Graphics I,3 TF,1100-1215pm,Schaer D,
35242,EG,0130,02,Engineering Graphics I,3 TF,1230-0145pm,Schaer D,
35243,EG,0130,03,Engineering Graphics I,3 TF,0200-0315pm,Schaer D,
35247,EG,0260,01,Robots,3 TF,0930-1045am,Munden R,CLRC SERL
35248,EG,0300,01,Feedback Control Systems,3 MR,0330-0445pm,Denenberg J,
35249,EG,0305,01,Design of Mechatronics Systems,3 W,0630-0900pm,Judge A,
34798,EG,0391,01,Senior Design Project II,3 TR,0500-0615pm,Rusu-Sprincenatu A,
CRN,Subj,Course,Sec,Title,Creds Days,Time,Instructor,Notes
34113,ME,0203,01,Kinematics and Dynamics,3 MR,0200-0315pm,Zabinski M,
34665,ME,0203,02,Kinematics and Dynamics,3 MR,0330-0445pm,Zabinski M,
34435,ME,0307L,01,Dynamics Systems Lab,1 W,0415-0615pm,Cupic K,
35000,ME,0307L,02,Dynamics Systems Lab,1 W,0630-0830pm,Cupic K,
34666,ME,0308,01,Strength of Materials,3 MR,1100-1215pm,Zabinski M,
35001,ME,0308,02,Strength of Materials,3 TR,0500-0615pm,STAFF,
34667,ME,0318,01,Finite Element Analysis,3,T,0630-0900pm,Bauer G
35002,ME,0318,02,Finite Element Analysis,3,R,0630-0900pm,Bauer G
35863,ME,0327,01,Fracture Mechanics,3,R,0630-0900pm,McFadden J
34062,ME,0342,01,Applications of Thermodynamics,3,MR,1230-0145pm,Etemad S
34668,ME,0342,02,Applications of Thermodynamics,3,MR,0200-0315pm,Etemad S
34122,ME,0347,01,Fluid Mechanics,3,MR,1100-1215pm,Safari Qariq M
35003,ME,0347,02,Fluid Mechanics,3,MR,0330-0445pm,Safari Qariq M
34436,ME,0348L,01,Thermal and Fluids Lab,1,T,1100-0100pm,Anekwe C
35004,ME,0348L,02,Thermal and Fluids Lab,1,T,0200-0400pm,Anekwe C
34792,ME,0353,01,Computational Fluid Dynamics,3,M,0630-0900pm,Safari Qariq M
CRN,Subj,Course,Sec,Title,Creds Days,Time,Instructor,Notes
35867,SW,0300,01,Software Engineering Methods,3 F,0500-0730pm,Rusu A,
35868,SW,0301,01,Software Design Methods,3 W,1100-0130pm,Rusu A,
35869,SW,0320,01,Software Testing & Maintenance,3 M,0630-0900pm,Rusu A,
CRN,Subj,Course,Sec,Title,Creds Days,Time,Instructor,Notes
35873,HS,0200,01,Health Comm for Healthcare Pro,3 T,0500-0730pm,Pagano M,SERL
34959,HS,0399,01,Health Studies Capstone,3 W,0200-0430pm,Pagano M,
35291,HS,0399,02,Health Studies Capstone,3 W,1100-0130pm,Kelley P,
CRN,Subj,Course,Sec,Title,Creds Days,Time,Instructor,Notes
34240,NS,0110,01,Intro to Professional Nursing,3 TF,1230-0145pm,Saracino K,
34756,NS,0110,02,Intro to Professional Nursing,3 W,0200-0430pm,Saracino K,
34241,NS,0112,01,Healthcare Delivery Systems,3 TF,1230-0145pm,Sullivan K,
35292,NS,0112,02,Healthcare Delivery Systems,3 W,0200-0430pm,Planas J,SERO
34314,NS,0252,01,Health Assessment for RNs,3 R,0500-0730pm,Hall D,RNNU
34140,NS,0270,01,Health Assessment,4 T,0500-0640pm,Bartos S,
34752,NS,0270,02,Health Assessment,4 T,0320-0500pm,Mager D,
34397,NS,0270L,01,Health Assessment Lab,0 M,0600-0920pm,Mager D,
34398,NS,0270L,02,Health Assessment Lab,0 T,1130-0250pm,Hall D,
34399,NS,0270L,03,Health Assessment Lab,0 W,0800-1120am,Hall D,
34400,NS,0270L,04,Health Assessment Lab,0 W,1230-0350pm,Hall D,
34401,NS,0270L,05,Health Assessment Lab,0 R,0600-0920pm,Mager D,
34753,NS,0270L,06,Health Assessment Lab,0 F,1230-0350pm,Bartos S,
34755,NS,0270L,07,Health Assessment Lab,0 F,0800-1120am,Sullivan K,
34402,NS,0272,01,Geriatric Nursing,4 MR,1100-1215pm,Lovanio K,RCOL
35875,NS,0272C,X,Geriatric Nursing Clinical,0,,STAFF,
34403,NS,0305,01,Mental Health Nursing,4 MR,0930-1045am,Roberto A,RCOL
35293,NS,0305,02,Mental Health Nursing,4 MR,1100-1215pm,Roberto A,RCOL
35876,NS,0305C,X,Mental Health Nursing Clinical,0,,STAFF,
34158,NS,0310,01,Found/Resrch Evid Based Pract,3 MR,0330-0445pm,Burrows K,
34579,NS,0310,02,Found/Resrch Evid Based Pract,3 MR,1230-0145pm,Sullivan K,
35064,NS,0310,03,Found/Resrch Evid Based Pract,3 TF,0150-0320pm,Murphy M,SDNU
34159,NS,0312,01,Medical Surgical Nursing I,5 MR,1100-1215pm,Chaplik S,
35065,NS,0312,02,Medical Surgical Nursing I,5 MR,1100-1215pm,Iannino-Renz R,
35877,NS,0312C,X,Med Surgical Nursing I Clinic,0,,STAFF,
34575,NS,0314,01,Maternal and Newborn Nursing,4 MR,0930-1045am,LoGiudice J,
35878,NS,0314C,X,Maternal/Newborn Nursing Clin,0,,STAFF,
34214,NS,0321,01,Professional Nursing Leadershp,3 W,0200-0430pm,Love K,
34296,NS,0321,02,Professional Nursing Leadershp,3 W,0200-0430pm,Burrows K,
34602,NS,0321,03,Professional Nursing Leadershp,3 W,0500-0730pm,Love K,RNNU
35070,NS,0321,04,Professional Nursing Leadershp,3 TF,0930-1045am,Hall D,SDNU
34160,NS,0323,01,Pediatric Nursing,4 MR,0200-0315pm,O'Shea E,
35400,NS,0323,02,Pediatric Nursing,4 TF,1100-1215pm,O'Shea E,SDNU
35883,NS,0323C,X,Pediatric Nursing Clinical,0,,STAFF,
34277,NS,0325,01,Medical Surgical Nursing II,5 TF,0800-0915am,Bautista C,SDNU
35885,NS,0325C,X,Med Surgical Nursing II Clinic,0,,STAFF,SDNU
34186,NS,0330,01,"Comm, Pub & Globl Hlth Nursing",4 W,1100-0130pm,Mager D,SERL WDIV
35886,NS,0330C,X,Comm Pub & Globl Hlth Clinical,0,,STAFF,
34187,NS,0332,01,Trans to Professional Nursing,4 W,0500-0550pm,Saracino K,
35887,NS,0340,01,Intro to Global Public Health,3 MW,0500-0615pm,Planas J,
34299,NS,0356,01,Transition Sem for Prof Nrsng,3 R,0500-0730pm,Pomarico C,RNNU
34068,NS,0360,01,Critical Care Nursing,3 W,0800-1030am,Bautista C,
35410,NS,0360,02,Critical Care Nursing,3 W,0800-1030am,Bartos S,
CRN,Subj,Course,Sec,Title,Creds Days,Time,Instructor,Notes
35680,PB,0101,01,Public Health & Social Justice,3 MR,1100-1215pm,Kelley P,
