CRN,Subj,Course,Sec,Title,Creds Days,Time,Instructor,Notes
34259,CI,0211,01,Intermediate Chinese II,3 MR,1230-0120pm,Xiao J,
"",,,,,W,1200-1250pm,,
35764,CI,0221,01,Reading China,3 MWR,0500-0550pm,STAFF,WDIV
CRN,Subj,Course,Sec,Title,Creds Days,Time,Instructor,Notes
35939,CL,0108,01,Myth in Classical Literature,3 MR,1100-1215pm,Rosivach V,
35940,CL,0109,01,Greek Tragedy/Engl Translation,3 W,0630-0900pm,Rosivach V,
34820,CL,0115,01,Greek Civilization,3 MR,1100-1215pm,Ruffini G,
35023,CL,0115,02,Greek Civilization,3 MR,0200-0315pm,Ruffini G,
CRN,Subj,Course,Sec,Title,Creds Days,Time,Instructor,Notes
34107,CO,0100,01,Human Communication Theories,3 TF,1100-1215pm,Brennan N,
34153,CO,0100,02,Human Communication Theories,3 TF,1230-0145pm,Brennan N,
34655,CO,0100,03,Human Communication Theories,3 TF,0200-0315pm,Brennan N,
34081,CO,0101,01,Argument and Advocacy,3 TF,1230-0145pm,Smith J,
34143,CO,0101,02,Argument and Advocacy,3 TF,0200-0315pm,Smith J,
34177,CO,0101,03,Argument and Advocacy,3 TF,1100-1215pm,Smith J,
34384,CO,0101,04,Argument and Advocacy,3 M,0630-0900pm,Larkin T,
34947,CO,0102,01,Intro to Public Relations,3 R,0500-0730pm,Butch K,
34250,CO,0130,01,Mass Media and Society,3 TF,1100-1215pm,Rugg A,
34290,CO,0130,02,Mass Media and Society,3 TF,0930-1045am,Rugg A,
34304,CO,0130,03,Mass Media and Society,3 MR,1100-1215pm,Iddins A,
34948,CO,0130,04,Mass Media and Society,3 MR,0930-1045am,Iddins A,
34082,CO,0200,01,Interpersonal Comm Theories,3 TWF,1100-1150am,Ryan M,
34161,CO,0200,02,Interpersonal Comm Theories,3 TF,0930-1020am,Ryan M,
"",,,,,W,0900-0950am,,
34769,CO,0201,01,Persuasion,3 TF,1230-0145pm,Ryan M,
34770,CO,0220,01,Intro Organizational Comm,3 MR,1100-1215pm,Pagano M,
35775,CO,0231,01,Media Institutions,3 MR,1230-0145pm,Iddins A,
35935,CO,0241,01,Comm & Culture: East and West,3 W,0200-0430pm,Zhang Q,WDIV
34949,CO,0242,01,"Alcohol, Addiction and Culture",3 MR,1100-1215pm,Wills M,SERL
34950,CO,0242,02,"Alcohol, Addiction and Culture",3 MR,0930-1045am,Wills M,SERL
34162,CO,0309,01,Research Proj in Comm:Capstone,3,MR 0200-0315pm,,Nuru A,
34452,CO,0309,02,Research Proj in Comm:Capstone,3,MR 0330-0445pm,,Nuru A,
34951,CO,0324,01,Crisis Communication,3,MR 0200-0315pm,,Pagano M,
35776,CO,0330,01,Misinformation in Digi Media,3,W 0200-0430pm,,Rugg A,
34613,CO,0335,01,"Globalization, Media & Culture",3,TF 0930-1045am,,Brennan N,
34841,CO,0340,01,Conflict Communication,3,W 1100-0130pm,,Zhang Q,
34772,CO,0341,01,End of Life Communication,3,MR 0330-0445pm,,Pagano M,SERL
35102,CO,0399,01,Internship,3,By Arrangement,,Ryan M,
CRN,Subj,Course,Sec,Title,Creds Days,Time,Instructor,Notes
34317,ED,0200,01,Explorations in Education,3 W,0800-1030am,STAFF,SERL UDIV
34191,ED,0241,01,Educational Psychology,3 T,0500-0730pm,Wolen C,
34026,ED,0329,01,Philosophy of Education: Intro,3 W,0200-0430pm,Orelus P,
34121,ED,0350,01,Special Learners in Mainstream,3 W,0630-0900pm,STAFF,
CRN,Subj,Course,Sec,Title,Creds Days,Time,Instructor,Notes
34657,EN,0011,01,Texts and Contexts I,3 TF,0200-0315pm,STAFF,
34001,EN,0012,01,Texts and Contexts II,3 MR,0200-0315pm,Tullis M,
34002,EN,0012,02,Texts and Contexts II,3 TF,0930-1045am,Hilts E,UDIV
34003,EN,0012,03,Texts and Contexts II,3 TF,0200-0315pm,Ferrara L,
34004,EN,0012,04,Texts and Contexts II,3 MR,0200-0315pm,Smith T,
34005,EN,0012,05,Texts and Contexts II,3 MW,0630-0745pm,Louis L,
34006,EN,0012,06,Texts and Contexts II,3 MR,0800-0915am,Dimyan R,
